order_id,customer_id,order_date,status,total_amount,shipping_address,created_at,updated_at
ORD10019,CUST00019,2026-03-08T15:40:00,UNKNOWN,3499.0,,2026-03-08T15:40:00,
ORD10020,CUST00004,2026-03-12T09:00:00,UNKNOWN,2698.0,,2026-03-12T09:00:00,
ORD10021,CUST00033,2026-03-15T11:25:00,UNKNOWN,1999.0,,2026-03-15T11:25:00,
ORD10022,CUST00046,2026-03-18T14:50:00,UNKNOWN,1698.0,,2026-03-18T14:50:00,
ORD10023,CUST00008,2026-03-22T16:35:00,UNKNOWN,2198.0,,2026-03-22T16:35:00,
ORD10024,CUST00021,2026-03-25T10:00:00,UNKNOWN,1299.0,,2026-03-25T10:00:00,
ORD10025,CUST00016,2026-03-28T12:45:00,UNKNOWN,449.0,,2026-03-28T12:45:00,
ORD10026,CUST00027,2026-04-01T09:30:00,UNKNOWN,3499.0,,2026-04-01T09:30:00,
ORD10027,CUST00010,2026-04-04T14:00:00,UNKNOWN,1898.0,,2026-04-04T14:00:00,
ORD10028,CUST00042,2026-04-08T11:15:00,UNKNOWN,998.0,,2026-04-08T11:15:00,
ORD10029,CUST00013,2026-04-12T16:20:00,UNKNOWN,2798.0,,2026-04-12T16:20:00,
ORD10030,CUST00024,2026-04-15T08:45:00,UNKNOWN,1599.0,,2026-04-15T08:45:00,
ORD10031,CUST00037,2026-04-18T13:00:00,UNKNOWN,3998.0,,2026-04-18T13:00:00,
ORD10032,CUST00020,2026-04-22T10:30:00,UNKNOWN,1098.0,,2026-04-22T10:30:00,
ORD10033,CUST00031,2026-04-25T15:10:00,UNKNOWN,2499.0,,2026-04-25T15:10:00,
ORD10034,CUST00017,2026-04-28T09:20:00,UNKNOWN,1799.0,,2026-04-28T09:20:00,
ORD10035,CUST00023,2026-05-02T11:45:00,UNKNOWN,2298.0,,2026-05-02T11:45:00,
ORD10036,CUST00038,2026-05-05T14:30:00,UNKNOWN,1499.0,,2026-05-05T14:30:00,
ORD10037,CUST00026,2026-05-08T16:00:00,UNKNOWN,3198.0,,2026-05-08T16:00:00,
ORD10038,CUST00029,2026-05-12T08:15:00,UNKNOWN,1899.0,,2026-05-12T08:15:00,
ORD10039,CUST00034,2026-05-15T12:50:00,UNKNOWN,1198.0,,2026-05-15T12:50:00,
ORD10040,CUST00043,2026-05-18T15:25:00,UNKNOWN,4297.0,,2026-05-18T15:25:00,
ORD10041,CUST00032,2026-05-22T10:00:00,UNKNOWN,699.0,,2026-05-22T10:00:00,
ORD10042,CUST00036,2026-05-25T13:40:00,UNKNOWN,2098.0,,2026-05-25T13:40:00,
ORD10043,CUST00039,2026-05-28T09:10:00,UNKNOWN,2999.0,,2026-05-28T09:10:00,
ORD10044,CUST00041,2026-06-01T11:30:00,UNKNOWN,1599.0,,2026-06-01T11:30:00,
ORD10045,CUST00044,2026-06-04T14:55:00,UNKNOWN,2498.0,,2026-06-04T14:55:00,
ORD10046,CUST00045,2026-06-08T16:20:00,UNKNOWN,1799.0,,2026-06-08T16:20:00,
ORD10047,CUST00047,2026-06-12T08:40:00,UNKNOWN,1299.0,,2026-06-12T08:40:00,
ORD10048,CUST00048,2026-06-15T12:15:00,UNKNOWN,998.0,,2026-06-15T12:15:00,
ORD10049,CUST00049,2026-06-18T15:00:00,UNKNOWN,3698.0,,2026-06-18T15:00:00,
ORD10050,CUST00050,2026-06-22T10:30:00,UNKNOWN,2199.0,,2026-06-22T10:30:00,
ORD10051,CUST00003,2026-06-25T13:45:00,UNKNOWN,1499.0,,2026-06-25T13:45:00,
ORD10052,CUST00007,2026-06-28T16:10:00,UNKNOWN,2798.0,,2026-06-28T16:10:00,
ORD10053,CUST00015,2026-07-02T09:00:00,UNKNOWN,3499.0,,2026-07-02T09:00:00,
ORD10054,CUST00001,2026-07-05T11:20:00,UNKNOWN,1999.0,,2026-07-05T11:20:00,
ORD10055,CUST00022,2026-07-08T14:35:00,UNKNOWN,899.0,,2026-07-08T14:35:00,
ORD10056,CUST00009,2026-07-12T16:50:00,UNKNOWN,2598.0,,2026-07-12T16:50:00,
ORD10057,CUST00012,2026-07-15T08:25:00,UNKNOWN,1698.0,,2026-07-15T08:25:00,
ORD10058,CUST00030,2026-07-18T12:00:00,UNKNOWN,2999.0,,2026-07-18T12:00:00,
ORD10059,CUST00005,2026-07-22T15:15:00,UNKNOWN,1398.0,,2026-07-22T15:15:00,
ORD10060,CUST00018,2026-07-25T10:40:00,UNKNOWN,2199.0,,2026-07-25T10:40:00,
ORD10061,CUST00025,2026-07-28T13:00:00,UNKNOWN,1599.0,,2026-07-28T13:00:00,
ORD10062,CUST00002,2026-08-01T09:30:00,UNKNOWN,3298.0,,2026-08-01T09:30:00,
ORD10063,CUST00035,2026-08-04T12:45:00,UNKNOWN,1899.0,,2026-08-04T12:45:00,
ORD10064,CUST00011,2026-08-07T15:20:00,UNKNOWN,2499.0,,2026-08-07T15:20:00,
ORD10065,CUST00040,2026-08-10T08:10:00,UNKNOWN,1199.0,,2026-08-10T08:10:00,
ORD10066,CUST00006,2026-08-13T11:30:00,UNKNOWN,3798.0,,2026-08-13T11:30:00,
ORD10067,CUST00028,2026-08-16T14:00:00,UNKNOWN,1698.0,,2026-08-16T14:00:00,
ORD10068,CUST00014,2026-08-19T16:30:00,UNKNOWN,2098.0,,2026-08-19T16:30:00,
ORD10069,CUST00019,2026-08-22T09:45:00,UNKNOWN,1499.0,,2026-08-22T09:45:00,
ORD10070,CUST00004,2026-08-25T12:20:00,UNKNOWN,2898.0,,2026-08-25T12:20:00,
ORD10071,CUST00033,2026-08-28T15:00:00,UNKNOWN,1799.0,,2026-08-28T15:00:00,
ORD10072,CUST00046,2026-08-30T10:15:00,UNKNOWN,2298.0,,2026-08-30T10:15:00,
ORD10073,CUST00008,2026-09-01T08:30:00,UNKNOWN,1599.0,,2026-09-01T08:30:00,
ORD10074,CUST00021,2026-09-01T11:00:00,UNKNOWN,2698.0,,2026-09-01T11:00:00,
ORD10075,CUST00016,2026-09-02T09:15:00,UNKNOWN,999.0,,2026-09-02T09:15:00,
ORD10076,CUST00027,2026-04-02T10:00:00,UNKNOWN,1999.0,,2026-04-02T10:00:00,
ORD10077,CUST00010,2026-04-20T14:30:00,UNKNOWN,2499.0,,2026-04-20T14:30:00,
ORD10078,CUST00042,2026-05-10T09:00:00,UNKNOWN,1299.0,,2026-05-10T09:00:00,
ORD10079,CUST00013,2026-06-05T16:45:00,UNKNOWN,3499.0,,2026-06-05T16:45:00,
ORD10080,CUST00024,2026-07-10T11:20:00,UNKNOWN,1799.0,,2026-07-10T11:20:00,
ORD10081,CUST00037,2026-03-05T13:10:00,UNKNOWN,1899.0,,2026-03-05T13:10:00,
ORD10082,CUST00020,2026-05-20T15:30:00,UNKNOWN,2199.0,,2026-05-20T15:30:00,
ORD10083,CUST00031,2026-06-20T08:50:00,UNKNOWN,1499.0,,2026-06-20T08:50:00,
ORD10084,CUST00017,2026-07-05T12:30:00,UNKNOWN,2999.0,,2026-07-05T12:30:00,
ORD10085,CUST00023,2026-08-05T10:00:00,UNKNOWN,1699.0,,2026-08-05T10:00:00,
ORD10086,CUST00038,2026-02-10T14:20:00,UNKNOWN,2698.0,,2026-02-10T14:20:00,
ORD10087,CUST00026,2026-03-30T09:45:00,UNKNOWN,1398.0,,2026-03-30T09:45:00,
ORD10088,CUST00029,2026-05-08T16:15:00,UNKNOWN,2299.0,,2026-05-08T16:15:00,
ORD10089,CUST00034,2026-06-10T11:00:00,UNKNOWN,1798.0,,2026-06-10T11:00:00,
ORD10090,CUST00043,2026-07-20T13:30:00,UNKNOWN,3198.0,,2026-07-20T13:30:00,
ORD10091,CUST00032,2026-08-02T15:45:00,UNKNOWN,1899.0,,2026-08-02T15:45:00,
ORD10092,CUST00036,2026-08-15T08:00:00,UNKNOWN,2598.0,,2026-08-15T08:00:00,
ORD10093,CUST00039,2026-08-20T10:30:00,UNKNOWN,1499.0,,2026-08-20T10:30:00,
ORD10094,CUST00041,2026-08-25T14:00:00,UNKNOWN,2198.0,,2026-08-25T14:00:00,
ORD10095,CUST00044,2026-08-28T16:20:00,UNKNOWN,1699.0,,2026-08-28T16:20:00,
ORD10096,CUST00045,2026-08-30T09:00:00,UNKNOWN,3499.0,,2026-08-30T09:00:00,
ORD10097,CUST00047,2026-09-01T12:30:00,UNKNOWN,1999.0,,2026-09-01T12:30:00,
ORD10098,CUST00048,2026-09-01T15:45:00,UNKNOWN,1299.0,,2026-09-01T15:45:00,
ORD10099,CUST00049,2026-09-02T08:00:00,UNKNOWN,2798.0,,2026-09-02T08:00:00,
ORD10100,CUST00050,2026-09-02T10:15:00,UNKNOWN,1599.0,,2026-09-02T10:15:00,
